address_sk,address_id,line1,line2,country_code,province,province_code,city,postal_code,created_at
35,1031,Calle 7082,Piso 12 Dto C,AR,Santa Fe,SF,Santa Fe,3601,2024-08-30 01:20:04
36,1032,Calle 7520,,AR,Córdoba,CBA,Río Cuarto,3337,2025-03-28 10:04:40
37,1033,Calle 9910,Piso 4 Dto C,AR,Buenos Aires,BA,La Plata,9043,2025-04-19 21:40:10
38,1034,Calle 1493,Piso 5 Dto C,AR,Buenos Aires,BA,CABA,6681,2024-08-10 01:41:32
39,1035,Calle 6801,Piso 4 Dto A,AR,Buenos Aires,BA,CABA,8501,2024-12-23 13:21:01
40,1036,Calle 9317,,AR,Mendoza,MZA,Mendoza,4927,2024-01-06 08:08:24
41,1037,Calle 8811,,AR,Buenos Aires,BA,Mar del Plata,4559,2025-06-10 14:33:01
42,1038,Calle 1987,,AR,Buenos Aires,BA,Mar del Plata,9264,2024-09-23 10:39:02
43,1039,Calle 4142,,AR,Buenos Aires,BA,CABA,8572,2023-06-16 12:06:53
44,1040,Calle 7568,Piso 7 Dto B,AR,Buenos Aires,BA,Mar del Plata,4185,2025-01-11 05:05:27
45,1041,Calle 1879,Piso 12 Dto A,AR,Buenos Aires,BA,La Plata,8606,2025-05-28 01:08:03
46,1042,Calle 8986,Piso 11 Dto A,AR,Buenos Aires,BA,CABA,3297,2025-05-06 08:14:19
47,1043,Calle 2795,,AR,Santa Fe,SF,Rosario,3903,2024-08-04 22:30:27
48,1044,Calle 6404,,AR,Buenos Aires,BA,Mar del Plata,5476,2023-12-30 10:45:48
49,1045,Calle 3550,,AR,Buenos Aires,BA,CABA,8242,2023-07-19 04:28:24
50,1046,Calle 1685,Piso 7 Dto C,AR,Santa Fe,SF,Rafaela,8274,2023-07-26 10:10:56
51,1047,Calle 6184,Piso 4 Dto A,AR,Córdoba,CBA,Córdoba,4908,2024-03-11 16:00:25
52,1048,Calle 458,,AR,Buenos Aires,BA,La Plata,2035,2024-04-12 15:21:55
53,1049,Calle 2751,,AR,Mendoza,MZA,Mendoza,7810,2025-07-10 03:23:19
54,1050,Calle 5287,,AR,Buenos Aires,BA,La Plata,4393,2025-08-24 12:08:19
55,1051,Calle 1980,,AR,Buenos Aires,BA,La Plata,6842,2024-09-19 08:01:35
56,1052,Calle 5182,,AR,Buenos Aires,BA,La Plata,8516,2024-04-11 21:46:51
57,1053,Calle 6046,,AR,Buenos Aires,BA,La Plata,7735,2024-08-16 10:00:41
58,1054,Calle 1669,,AR,Santa Fe,SF,Santa Fe,5127,2023-09-30 04:20:00
59,1055,Calle 6367,,AR,Córdoba,CBA,Río Cuarto,6440,2024-02-02 08:48:54
60,1056,Calle 5210,,AR,Córdoba,CBA,Río Cuarto,6490,2023-06-02 09:59:41
61,1057,Calle 7355,,AR,Córdoba,CBA,Río Cuarto,9248,2023-05-26 15:32:59
62,1058,Calle 2033,Piso 5 Dto A,AR,Buenos Aires,BA,Mar del Plata,4990,2023-09-06 07:51:37
63,1059,Calle 8172,,AR,Buenos Aires,BA,La Plata,7156,2024-03-18 12:02:14
64,1060,Calle 9799,Piso 8 Dto C,AR,Córdoba,CBA,Córdoba,3199,2024-07-11 01:18:19
65,1061,Calle 8534,Piso 7 Dto C,AR,Buenos Aires,BA,CABA,1388,2024-04-25 18:06:44
66,1062,Calle 5616,,AR,Santa Fe,SF,Santa Fe,5068,2024-04-15 13:18:55
67,1063,Calle 8544,Piso 6 Dto A,AR,Córdoba,CBA,Villa Carlos Paz,1099,2023-08-14 09:05:30
68,1064,Calle 3154,,AR,Santa Fe,SF,Rosario,4345,2023-11-17 01:15:12
69,1065,Calle 8993,,AR,Buenos Aires,BA,Mar del Plata,7983,2025-04-30 13:47:24
70,1066,Calle 3237,,AR,Buenos Aires,BA,Mar del Plata,5079,2024-08-18 20:24:48
71,1067,Calle 3300,,AR,Buenos Aires,BA,La Plata,6891,2025-01-13 15:37:48
72,1068,Calle 7232,Piso 7 Dto C,AR,Buenos Aires,BA,La Plata,3553,2025-05-23 18:17:22
73,1069,Calle 7003,,AR,Buenos Aires,BA,La Plata,3878,2024-06-08 16:31:50
74,1070,Calle 7432,Piso 5 Dto B,AR,Buenos Aires,BA,La Plata,2178,2024-10-04 15:52:09
75,1071,Calle 3207,,AR,Buenos Aires,BA,La Plata,1210,2025-06-21 19:26:30
76,1072,Calle 8052,Piso 7 Dto B,AR,Córdoba,CBA,Villa Carlos Paz,7113,2024-12-22 13:57:10
77,1073,Calle 9639,,AR,Buenos Aires,BA,Mar del Plata,3039,2024-12-23 19:21:12
78,1074,Calle 3183,Piso 7 Dto B,AR,Mendoza,MZA,Mendoza,9349,2025-06-03 01:08:33
79,1075,Calle 946,Piso 11 Dto B,AR,Córdoba,CBA,Villa Carlos Paz,5043,2024-05-16 11:34:11
80,1076,Calle 463,,AR,Buenos Aires,BA,La Plata,5281,2025-04-12 13:10:51
81,1077,Calle 4167,,AR,Mendoza,MZA,Mendoza,1202,2023-11-03 08:02:01
82,1078,Calle 6298,,AR,Santa Fe,SF,Rafaela,9495,2024-02-23 07:50:27
83,1079,Calle 6994,Piso 5 Dto C,AR,Santa Fe,SF,Rosario,9202,2025-08-11 07:11:08
84,1080,Calle 9603,Piso 5 Dto C,AR,Córdoba,CBA,Villa Carlos Paz,2456,2023-10-22 18:01:57
85,1081,Calle 2339,,AR,Córdoba,CBA,Villa Carlos Paz,7520,2024-08-26 14:48:48
86,1082,Calle 8057,,AR,Buenos Aires,BA,CABA,7845,2025-07-29 12:00:05
87,1083,Calle 7061,Piso 3 Dto A,AR,Buenos Aires,BA,La Plata,4053,2023-11-30 16:15:44
88,1084,Calle 8235,,AR,Buenos Aires,BA,CABA,4041,2024-03-13 03:37:04
89,1085,Calle 3144,Piso 5 Dto B,AR,Buenos Aires,BA,CABA,2789,2024-01-19 01:37:52
90,1086,Calle 6189,,AR,Buenos Aires,BA,CABA,6605,2023-06-21 02:03:10
91,1087,Calle 7950,,AR,Córdoba,CBA,Villa Carlos Paz,2000,2024-06-22 08:12:33
92,1088,Calle 9543,,AR,Santa Fe,SF,Rosario,9557,2023-05-17 06:44:43
93,1089,Calle 4356,Piso 8 Dto B,AR,Buenos Aires,BA,Mar del Plata,8036,2024-10-09 19:30:03
94,1090,Calle 5165,Piso 4 Dto B,AR,Buenos Aires,BA,La Plata,7200,2023-08-02 22:07:09
95,1091,Calle 1642,Piso 1 Dto B,AR,Mendoza,MZA,Godoy Cruz,3275,2023-06-14 21:26:08
96,1092,Calle 4579,Piso 12 Dto A,AR,Córdoba,CBA,Río Cuarto,8404,2025-05-13 04:43:07
97,1093,Calle 3080,Piso 1 Dto C,AR,Buenos Aires,BA,Mar del Plata,1272,2024-11-15 13:26:18
98,1094,Calle 5334,,AR,Santa Fe,SF,Rafaela,8938,2025-01-16 15:14:22
99,1095,Calle 5708,,AR,Córdoba,CBA,Córdoba,7305,2024-08-04 12:00:20
100,1096,Calle 2346,,AR,Córdoba,CBA,Río Cuarto,3094,2025-06-17 11:59:29
101,1097,Calle 8991,Piso 8 Dto A,AR,Santa Fe,SF,Santa Fe,2895,2025-05-24 00:32:46
102,1098,Calle 3988,,AR,Córdoba,CBA,Córdoba,2728,2025-03-11 14:00:04
103,1099,Calle 2626,Piso 6 Dto B,AR,Mendoza,MZA,Mendoza,4610,2024-06-09 05:05:17
104,1100,Calle 2017,Piso 11 Dto A,AR,Córdoba,CBA,Río Cuarto,2481,2024-10-03 23:43:29
105,1101,Calle 9842,Piso 2 Dto C,AR,Santa Fe,SF,Rafaela,7176,2024-12-18 20:57:43
106,1102,Calle 7160,Piso 4 Dto A,AR,Córdoba,CBA,Río Cuarto,2895,2024-07-31 00:23:25
107,1103,Calle 5575,,AR,Buenos Aires,BA,CABA,2902,2024-11-27 06:13:48
108,1104,Calle 6230,,AR,Buenos Aires,BA,La Plata,6092,2023-08-10 03:14:15
109,1105,Calle 6360,Piso 7 Dto B,AR,Córdoba,CBA,Córdoba,3069,2025-07-21 09:44:09
110,1106,Calle 3640,,AR,Córdoba,CBA,Río Cuarto,9819,2025-04-20 12:30:57
111,1107,Calle 3587,Piso 8 Dto C,AR,Buenos Aires,BA,La Plata,3415,2024-07-19 05:39:01
112,1108,Calle 563,Piso 10 Dto B,AR,Buenos Aires,BA,Mar del Plata,9230,2023-11-13 19:04:19
113,1109,Calle 9404,,AR,Buenos Aires,BA,Mar del Plata,9110,2024-07-31 19:43:30
114,1110,Calle 964,,AR,Córdoba,CBA,Villa Carlos Paz,4687,2023-07-26 15:48:49
115,1111,Calle 7988,Piso 12 Dto B,AR,Mendoza,MZA,Mendoza,3608,2023-06-08 12:01:55
116,1112,Calle 6922,Piso 11 Dto B,AR,Buenos Aires,BA,La Plata,7412,2025-01-02 11:53:20
117,1113,Calle 4638,,AR,Buenos Aires,BA,Mar del Plata,9978,2025-01-06 16:54:04
118,1114,Calle 9510,Piso 1 Dto C,AR,Buenos Aires,BA,La Plata,8496,2024-01-15 06:58:19
119,1115,Calle 7905,,AR,Córdoba,CBA,Villa Carlos Paz,4573,2024-03-04 22:32:58
120,1116,Calle 5935,,AR,Córdoba,CBA,Córdoba,3418,2024-12-10 23:01:02
121,1117,Calle 2757,Piso 1 Dto A,AR,Mendoza,MZA,Godoy Cruz,8763,2024-02-09 01:11:56
122,1118,Calle 8445,Piso 11 Dto B,AR,Mendoza,MZA,Mendoza,3434,2025-01-22 13:59:16
123,1119,Calle 3947,Piso 7 Dto B,AR,Buenos Aires,BA,CABA,3826,2024-12-09 02:52:08
124,1120,Calle 1469,Piso 8 Dto C,AR,Santa Fe,SF,Rafaela,5509,2025-03-27 11:12:44
125,1121,Calle 1911,Piso 2 Dto A,AR,Buenos Aires,BA,CABA,9351,2024-04-19 10:11:10
126,1122,Calle 9382,,AR,Buenos Aires,BA,Mar del Plata,3967,2024-12-22 11:03:42
127,1123,Calle 7106,,AR,Buenos Aires,BA,Mar del Plata,2629,2024-09-22 05:24:54
128,1124,Calle 3030,,AR,Buenos Aires,BA,Mar del Plata,7451,2025-09-15 19:25:31
129,1125,Calle 8005,,AR,Santa Fe,SF,Rafaela,4399,2023-11-04 06:13:58
130,1126,Calle 2949,Piso 1 Dto C,AR,Buenos Aires,BA,Mar del Plata,6149,2023-11-13 03:27:41
131,1127,Calle 3379,,AR,Buenos Aires,BA,Mar del Plata,5206,2023-06-29 09:05:29
132,1128,Calle 8293,,AR,Buenos Aires,BA,CABA,7931,2023-05-06 03:11:24
133,1129,Calle 8511,Piso 5 Dto C,AR,Buenos Aires,BA,CABA,3291,2025-06-05 21:02:01
134,1130,Calle 5770,,AR,Córdoba,CBA,Río Cuarto,2622,2023-07-14 11:51:44
135,1131,Calle 2322,,AR,Buenos Aires,BA,CABA,4539,2024-11-13 18:55:10
136,1132,Calle 6915,Piso 2 Dto C,AR,Buenos Aires,BA,Mar del Plata,5270,2024-12-19 01:52:34
137,1133,Calle 6555,Piso 8 Dto A,AR,Córdoba,CBA,Córdoba,7968,2023-12-14 12:31:17
138,1134,Calle 4414,,AR,Buenos Aires,BA,CABA,7097,2025-09-27 14:06:09
139,1135,Calle 9912,,AR,Córdoba,CBA,Río Cuarto,6183,2025-03-09 14:47:28
140,1136,Calle 4056,,AR,Buenos Aires,BA,Mar del Plata,9707,2023-10-23 20:43:45
141,1137,Calle 1081,,AR,Córdoba,CBA,Villa Carlos Paz,6944,2024-10-05 02:25:40
142,1138,Calle 3699,,AR,Santa Fe,SF,Rosario,7179,2024-04-15 05:10:11
143,1139,Calle 2024,Piso 3 Dto C,AR,Buenos Aires,BA,CABA,9021,2023-10-01 10:00:36
144,1140,Calle 9375,Piso 5 Dto C,AR,Buenos Aires,BA,Mar del Plata,2623,2023-07-19 12:12:03
145,1141,Calle 2961,Piso 6 Dto C,AR,Buenos Aires,BA,La Plata,8812,2023-11-20 04:14:11
146,1142,Calle 8415,,AR,Buenos Aires,BA,Mar del Plata,3337,2024-12-14 10:42:44
147,1143,Calle 867,Piso 12 Dto C,AR,Córdoba,CBA,Villa Carlos Paz,5081,2025-02-13 17:15:25
148,1144,Calle 7192,Piso 6 Dto B,AR,Córdoba,CBA,Córdoba,5519,2025-02-28 12:14:17
149,1145,Calle 3749,,AR,Buenos Aires,BA,Mar del Plata,6007,2025-01-26 11:58:10
150,1146,Calle 1303,,AR,Santa Fe,SF,Rosario,2534,2024-01-17 11:51:48
151,1147,Calle 4684,,AR,Córdoba,CBA,Córdoba,7946,2025-07-04 05:03:10
152,1148,Calle 7859,,AR,Mendoza,MZA,Mendoza,7643,2023-05-27 14:14:21
153,1149,Calle 120,Piso 12 Dto B,AR,Córdoba,CBA,Río Cuarto,5001,2025-08-03 09:25:14
154,1150,Calle 9952,,AR,Córdoba,CBA,Córdoba,3864,2023-08-30 16:45:54
155,1151,Calle 8417,Piso 6 Dto A,AR,Buenos Aires,BA,CABA,9118,2024-12-14 21:40:38
156,1152,Calle 5538,,AR,Buenos Aires,BA,CABA,5752,2024-08-12 18:09:50
157,1153,Calle 3491,Piso 1 Dto C,AR,Buenos Aires,BA,La Plata,4562,2024-08-21 12:30:20
158,1154,Calle 8447,Piso 1 Dto B,AR,Mendoza,MZA,San Rafael,1942,2024-11-08 15:06:00
159,1155,Calle 5383,,AR,Buenos Aires,BA,La Plata,1084,2024-10-30 06:34:11
160,1156,Calle 6588,,AR,Santa Fe,SF,Rosario,8058,2025-06-08 08:48:32
161,1157,Calle 8427,,AR,Buenos Aires,BA,Mar del Plata,8985,2023-05-16 17:38:25
162,1158,Calle 4099,Piso 4 Dto B,AR,Buenos Aires,BA,Mar del Plata,7132,2024-08-12 22:09:06
163,1159,Calle 8789,Piso 5 Dto A,AR,Buenos Aires,BA,CABA,8198,2024-01-12 09:37:12
164,1160,Calle 7111,,AR,Buenos Aires,BA,Mar del Plata,2813,2024-02-24 11:34:21
165,1161,Calle 6465,Piso 7 Dto C,AR,Buenos Aires,BA,CABA,1517,2024-01-10 00:52:59
166,1162,Calle 4355,Piso 2 Dto B,AR,Córdoba,CBA,Villa Carlos Paz,9119,2023-11-19 23:05:00
167,1163,Calle 8223,Piso 12 Dto C,AR,Buenos Aires,BA,La Plata,3153,2023-10-23 11:08:04
168,1164,Calle 2067,,AR,Mendoza,MZA,Mendoza,4874,2023-07-25 20:11:08
169,1165,Calle 7040,,AR,Córdoba,CBA,Villa Carlos Paz,8116,2025-05-20 22:53:35
170,1166,Calle 1354,,AR,Buenos Aires,BA,La Plata,9376,2024-02-20 06:39:16
171,1167,Calle 4318,Piso 12 Dto A,AR,Buenos Aires,BA,CABA,4250,2025-05-11 04:00:18
172,1168,Calle 8231,,AR,Córdoba,CBA,Córdoba,3436,2024-04-26 08:03:45
173,1169,Calle 629,,AR,Buenos Aires,BA,La Plata,7984,2023-06-02 10:27:45
174,1170,Calle 835,Piso 7 Dto B,AR,Córdoba,CBA,Córdoba,4791,2024-04-14 12:22:48
175,1171,Calle 1006,,AR,Buenos Aires,BA,La Plata,5985,2023-10-23 23:08:45
176,1172,Calle 5752,,AR,Buenos Aires,BA,La Plata,6240,2023-07-18 21:01:51
177,1173,Calle 855,Piso 11 Dto C,AR,Buenos Aires,BA,CABA,4473,2024-07-22 05:23:15
178,1174,Calle 1651,Piso 7 Dto A,AR,Buenos Aires,BA,Mar del Plata,9049,2024-11-20 19:17:28
179,1175,Calle 1588,,AR,Buenos Aires,BA,CABA,6426,2024-11-16 02:58:32
180,1176,Calle 9649,Piso 9 Dto C,AR,Córdoba,CBA,Villa Carlos Paz,4903,2024-07-07 16:02:52
181,1177,Calle 1430,,AR,Buenos Aires,BA,La Plata,1672,2024-02-25 19:52:45
182,1178,Calle 1617,Piso 2 Dto C,AR,Buenos Aires,BA,La Plata,5939,2025-05-11 15:24:07
183,1179,Calle 8742,,AR,Mendoza,MZA,Mendoza,3094,2024-02-27 19:20:41
184,1180,Calle 4138,Piso 9 Dto B,AR,Buenos Aires,BA,Mar del Plata,8347,2023-11-04 10:04:04
185,1181,Calle 7911,,AR,Mendoza,MZA,Mendoza,3735,2024-07-04 21:00:07
186,1182,Calle 4746,,AR,Córdoba,CBA,Córdoba,4116,2025-01-12 11:38:38
187,1183,Calle 8413,Piso 2 Dto A,AR,Buenos Aires,BA,Mar del Plata,9344,2024-12-22 18:09:56
188,1184,Calle 6568,,AR,Córdoba,CBA,Villa Carlos Paz,4015,2023-05-11 14:14:17
189,1185,Calle 9702,Piso 12 Dto A,AR,Buenos Aires,BA,CABA,9254,2025-07-29 16:08:52
190,1186,Calle 4856,,AR,Buenos Aires,BA,CABA,3803,2024-04-17 20:41:42
191,1187,Calle 4782,,AR,Buenos Aires,BA,CABA,5550,2023-11-28 13:31:58
192,1188,Calle 4080,,AR,Buenos Aires,BA,CABA,1022,2024-10-26 18:19:06
193,1189,Calle 5318,Piso 2 Dto C,AR,Córdoba,CBA,Villa Carlos Paz,3189,2025-01-29 08:07:33
194,1190,Calle 5319,,AR,Santa Fe,SF,Santa Fe,6824,2024-04-10 15:20:08
195,1191,Calle 2896,,AR,Córdoba,CBA,Villa Carlos Paz,7258,2024-06-08 18:31:23
196,1192,Calle 9902,Piso 9 Dto A,AR,Santa Fe,SF,Rafaela,4614,2024-09-20 17:24:07
197,1193,Calle 6480,,AR,Buenos Aires,BA,Mar del Plata,8109,2024-11-28 15:53:44
198,1194,Calle 1536,Piso 8 Dto A,AR,Buenos Aires,BA,La Plata,4031,2024-02-03 13:52:38
199,1195,Calle 2956,,AR,Buenos Aires,BA,La Plata,6081,2024-01-14 02:02:50
200,1196,Calle 9959,,AR,Santa Fe,SF,Santa Fe,2180,2025-02-26 09:09:32
201,1197,Calle 6595,,AR,Buenos Aires,BA,Mar del Plata,1193,2023-10-07 22:12:06
202,1198,Calle 1803,,AR,Buenos Aires,BA,CABA,3165,2024-05-25 18:53:45
203,1199,Calle 2337,,AR,Santa Fe,SF,Santa Fe,1153,2023-10-18 04:36:11
204,1200,Calle 1393,Piso 4 Dto A,AR,Buenos Aires,BA,La Plata,8279,2024-01-14 10:27:56
205,1201,Calle 2532,Piso 4 Dto A,AR,Buenos Aires,BA,La Plata,9906,2023-11-13 04:35:16
206,1202,Calle 1685,,AR,Buenos Aires,BA,CABA,9381,2025-02-09 02:56:05
207,1203,Calle 394,Piso 4 Dto B,AR,Buenos Aires,BA,CABA,3414,2024-11-04 20:20:53
208,1204,Calle 6304,,AR,Córdoba,CBA,Córdoba,9057,2024-01-24 09:37:11
209,1205,Calle 1667,,AR,Mendoza,MZA,Mendoza,6467,2023-11-05 20:26:38
210,1206,Calle 711,,AR,Buenos Aires,BA,CABA,8022,2025-08-07 01:45:06
211,1207,Calle 6968,Piso 3 Dto C,AR,Buenos Aires,BA,CABA,5702,2024-10-28 04:45:34
212,1208,Calle 8180,Piso 11 Dto B,AR,Santa Fe,SF,Santa Fe,2251,2023-05-09 09:13:48
213,1209,Calle 2402,Piso 6 Dto A,AR,Santa Fe,SF,Rosario,8318,2025-05-18 05:14:17
214,1210,Calle 9468,Piso 7 Dto C,AR,Santa Fe,SF,Rosario,3370,2023-09-23 12:06:33
215,1211,Calle 2980,Piso 7 Dto B,AR,Buenos Aires,BA,CABA,9097,2025-02-22 09:36:17
216,1212,Calle 9859,,AR,Buenos Aires,BA,La Plata,5028,2024-12-21 06:10:48
217,1213,Calle 8827,,AR,Buenos Aires,BA,La Plata,7301,2023-09-12 21:29:40
218,1214,Calle 8634,,AR,Córdoba,CBA,Villa Carlos Paz,2429,2024-05-05 08:37:59
219,1215,Calle 282,Piso 6 Dto C,AR,Buenos Aires,BA,CABA,3188,2023-10-24 02:55:30
220,1216,Calle 5913,Piso 3 Dto B,AR,Buenos Aires,BA,La Plata,3361,2025-09-08 17:25:28
221,1217,Calle 3974,,AR,Mendoza,MZA,Godoy Cruz,3257,2023-11-04 02:52:03
222,1218,Calle 2345,,AR,Mendoza,MZA,San Rafael,7958,2024-12-03 09:23:33
223,1219,Calle 9530,,AR,Buenos Aires,BA,CABA,1494,2023-12-20 04:19:55
224,1220,Calle 4015,Piso 2 Dto A,AR,Buenos Aires,BA,CABA,3452,2024-02-13 09:16:43
225,1221,Calle 8642,Piso 12 Dto B,AR,Buenos Aires,BA,CABA,7742,2024-10-11 00:50:04
226,1222,Calle 217,,AR,Buenos Aires,BA,Mar del Plata,1983,2023-06-24 21:29:13
227,1223,Calle 8246,Piso 3 Dto A,AR,Córdoba,CBA,Córdoba,7940,2025-04-10 17:24:05
228,1224,Calle 9373,,AR,Córdoba,CBA,Villa Carlos Paz,7941,2024-01-04 13:57:05
229,1225,Calle 8545,,AR,Buenos Aires,BA,CABA,7560,2023-07-31 23:42:46
230,1226,Calle 9164,Piso 10 Dto A,AR,Buenos Aires,BA,CABA,8821,2024-09-03 12:33:24
231,1227,Calle 6234,Piso 3 Dto A,AR,Córdoba,CBA,Villa Carlos Paz,7950,2024-03-03 12:04:57
232,1228,Calle 1275,Piso 6 Dto C,AR,Buenos Aires,BA,CABA,1459,2024-05-12 02:19:21
233,1229,Calle 1745,,AR,Buenos Aires,BA,Mar del Plata,6064,2024-02-21 15:35:47
234,1230,Calle 531,,AR,Córdoba,CBA,Río Cuarto,1735,2025-09-27 17:43:30
235,1231,Calle 749,,AR,Mendoza,MZA,Godoy Cruz,6056,2023-05-19 04:06:35
236,1232,Calle 6524,Piso 9 Dto A,AR,Mendoza,MZA,Godoy Cruz,7400,2024-11-08 18:34:32
237,1233,Calle 1596,,AR,Mendoza,MZA,San Rafael,9227,2023-12-25 07:21:52
238,1234,Calle 7815,Piso 10 Dto A,AR,Buenos Aires,BA,La Plata,3641,2023-12-27 09:44:20
239,1235,Calle 1529,,AR,Córdoba,CBA,Córdoba,3307,2024-01-11 04:16:05
240,1236,Calle 8460,Piso 12 Dto C,AR,Mendoza,MZA,San Rafael,8331,2023-11-25 19:24:00
241,1237,Calle 7060,Piso 1 Dto C,AR,Buenos Aires,BA,La Plata,4917,2024-03-25 09:23:51
242,1238,Calle 1229,Piso 3 Dto C,AR,Mendoza,MZA,San Rafael,2595,2023-05-29 05:04:08
243,1239,Calle 8965,,AR,Buenos Aires,BA,La Plata,8451,2024-09-04 08:16:51
244,1240,Calle 2646,Piso 2 Dto B,AR,Buenos Aires,BA,La Plata,6789,2023-09-21 14:42:26
245,1241,Calle 7549,Piso 5 Dto B,AR,Buenos Aires,BA,Mar del Plata,8242,2023-12-10 04:15:09
246,1242,Calle 8000,Piso 1 Dto B,AR,Mendoza,MZA,San Rafael,7568,2025-01-30 09:51:50
247,1243,Calle 2114,Piso 8 Dto B,AR,Santa Fe,SF,Rafaela,7122,2023-09-12 16:45:11
248,1244,Calle 7375,,AR,Córdoba,CBA,Río Cuarto,1934,2024-05-20 07:25:52
249,1245,Calle 131,Piso 3 Dto A,AR,Córdoba,CBA,Río Cuarto,7157,2024-01-06 18:20:23
250,1246,Calle 3655,,AR,Córdoba,CBA,Córdoba,6716,2025-04-28 17:10:32
251,1247,Calle 7617,,AR,Buenos Aires,BA,Mar del Plata,2775,2025-01-11 15:10:39
252,1248,Calle 6579,Piso 6 Dto A,AR,Santa Fe,SF,Rosario,6610,2025-05-30 10:23:32
253,1249,Calle 7803,Piso 2 Dto B,AR,Buenos Aires,BA,Mar del Plata,1627,2025-08-29 18:06:03
254,1250,Calle 2385,Piso 11 Dto A,AR,Buenos Aires,BA,La Plata,1513,2024-12-16 18:02:45
255,1251,Calle 7047,,AR,Buenos Aires,BA,La Plata,4465,2023-06-10 15:22:01
256,1252,Calle 6930,,AR,Mendoza,MZA,San Rafael,2369,2023-12-12 04:22:18
257,1253,Calle 1339,Piso 5 Dto C,AR,Buenos Aires,BA,La Plata,7876,2025-07-29 05:08:23
258,1254,Calle 3016,Piso 1 Dto A,AR,Buenos Aires,BA,La Plata,6603,2024-08-09 05:25:12
